id,site_id,district,street,nr_of_rooms,area_m2,floor,floor_max,series,building_type,extra,price,price_m2,site,description
1,agenskalns/hhige,Āgenskalns,Raņķa d. 5,2,49.0,1,5,Jaun.,Paneļu - ķieģeļu,"Lodžija, Parkošanas vieta",159500.0,3255.1,https://www.ss.com/msg/lv/real-estate/flats/riga/agenskalns/hhige.html,"Jauns 2-istabu dzīvoklis premium klases projektā ""Nameja Rezidence"", Pārdaugavā, Raņķa dambī 5, 1.stāvā ar skatu uz vienu no plaukstošākajiem pilsētas parkiem. Modernajā un jaunajā projektā palikuši tikai daži divistabu dzīvokļi. Dzīvoklim šobrīd spēkā ir īpašais piedāvājums, kur cenā ir iekļauti dienas aizkari, noliktavas telpas pazemes stāvvietā. 

Nekustamo īpašumu attīstītājs Hepsor piedāvā iegādāties dzīvokli ar kopējo platību – 48.57 m2. 
Dzīvokļa plānojums paredz dzīvojamo istabu apvienotu ar virtuvi un izeju uz lodžiju, vienu izolētu guļamistabu un sanmezglu. 

- Piecu stāvu ēka ar liftu
- A+ klases energo efektivitāte
- Ventilācijas sistēma ar rekuperāciju
- PVC logi ar 3-kāršu stikla paketi, 2.40 m augsti
- Kvalitatīva pilnā apdare:
 sanmezglā duša ar Hansgrohe santehniku, flīzes ar augstu hidroizolāciju, 
 dzīvojamās zonās 3 slāņu ozola parkets
- Individuāli skaitītāji elektrības, ūdens un siltuma patēriņa uzskaitei
- Apkuri nodrošina silto grīdu apsilde
- Pilsētas komunikācijas
- Dzīvoklī kvalitatīvas iekšdurvis un ugunsdrošas ārdurvis, kas aprīkotas ar domofonu
- Apzaļumota, labiekārtota teritorija ar video novērošanu, bērnu laukums
- Velo un ratiņu novietne ēkas 1.stāvā

Jaunais projekts ""Nameja Rezidence"" ir piemērots tiem, kas vēlas dzīvot Āgenskalnā, netālu no Vecrīgas, blakus parkam un Nacionālajai bibliotēkai ar ērtu sabiedriskā transporta sistēmu."
2,centre/dokcp,centrs,Eksporta 2,2,59.0,2,5,Staļina,Mūra,Parkošanas vieta,165000.0,2796.61,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dokcp.html,"Pārdod gaišu, siltu 2-istabu dzīvokli-studiju ar dizaina interjeru. 

Dzīvokļa plānojums:
+ Atsevišķa guļamistaba
+ Lielā viesistaba apvienota ar virtuvi
+ Plašs gaitenis
+ Vannas istaba
Dzīvoklis tika izremontēts sev, visas detaļas pārdomātas komfortablai dzīvošanai un funkcionalitātei. 
Dzīvoklis visā perimetrā siltināts ar vati: (grīda, griesti, visas sienas). 
Kvalitatīvi augstas kvalitātes materiāli: (flīzes, santehnika, grīdas parkets, virtuves iekārta, Venēcijas apmetums). 
Iebraucot dzīvoklī Jums nebūs jāveic remonts, visas komunikācijas nomainītas pret jaunām, sākot no santehnikas un beidzot ar elektroinstalāciju, stāvvads arī. Stikla paketes, metāla bruņu durvis. Saskaņots plānojums. Visas mēbeles ir itāļu mēbeles pēc pasūtījuma un tehnika ietilpst cenā. Vasaras sākumā tiks veikta mājas renovācija, mājas uzkrājumu. Zeme ir īpašumā. 

Dzīvokļa logi iziet zaļajā zonā, pa logiem paveras panorāmas skats uz apkārtni un krastmalu, kas nodrošina maksimālu apgaismojumu visas dienas garumā. 
Dzīvoklis bez parādiem, klusie kaimiņi, dzīvoklis plešas klusā, slēgtā pagalmā. 
Ap māju ir sakopta teritorija, slēgta tīra kāpņu telpa. 
Mājīgs un zaļš pagalms, kurā vienmēr ir Jūsu vietas automašīnai. 
Laba atrašanās vieta un infanstruktūra: blakus bērnudārzi, skolas, tirdzniecības centri, parki, krastmala. 
Netālu atrodas sabiedriskā transporta pieturas. 
Iespējama darījuma nosacījumu apspriešana. 
Zvaniet, lai vienotos par dzīvokļa skatīšanās laiku. 

Продается светлая, тёплая 2-х комнатная квартира-студия c дизайнерским интерьером. 

Планировка квартиры:
+ Отдельная спальня
+ Большая гостиная совмещенная с кухней
+ Просторный коридор
+ Ванная комната
Квартира была отремонтирована для себя, все детали продуманы для комфортного проживания и функциональности. 
Квартира утеплена по всему периметру ватой: (пол, потолок, все стены). 
Качественные материалы высокого качества: (плитка, сантехника, полы-паркет, кухонное оборудование, венецианская штукатурка). 
Въезжая в квартиру вам не нужно будет делать ремонт, все коммуникации заменены на новые, начиная от сантехники и заканчивая электроинсталяции, стояк тоже. Стеклопакеты, металлическая бронированная дверь. Планировка согласованная. Вся мебель итальянская на заказ и техника входит в стоимость. В начале лета будет произведена реновация дома, за счёт накопления. Земля в собственности. 

Окна квартиры выходят на зеленую зону, из окон открывается панорамный вид на окрестность и на набережную, что обеспечивает максимальное освещение в течение всего дня. 
Квартира без долгов, тихие соседи, квартира располается в тихом закрытом дворе. 
Вокруг дома ухоженная территория, закрытый чистый подъезд. 
Уютный и зелёный двор, в котором всегда есть место для автомобиля. 
Хорошее месторасположение и инфанструктура: рядом детские садики, школы, торговые центры, парки, набережная. 
Недалеко находятся остановки общественного транспорта. 
Возможно обсуждение условий сделки. 
Звоните, чтобы договориться о времени просмотра квартиры. 

Sells a light, warm 2-room apartment-studio with design interiors. 

Layout of the apartment:
+ Separate bedroom
+ Grand parlor combined with kitchen
+ Wide hallway
+ Bathroom
The apartment was renovated for itself, all details repurposed for the comfortable living and functionality. 
The flat has been heat-insulated throughout the perimeter with cotton wool: (floor, ceiling, all walls). 
High quality materials: (tiles, plumbing, floor parquet, kitchen appliance, Venecija plaster). 
When you enter the apartment, you won't have to do repairs, all communications switched to new ones, from plumbing to wiring, the riser also. Glass packets, armoured doors of metal. Agreed planning. All furniture is custom-made Italian furniture and the technique fits the price. A home renovation will be carried out at the beginning of summer with savings. The land is on the property. 

The apartment's windows go out into the green area, with panoramic views of the neighborhood and waterfront through the windows, providing maximum light throughout the day. 
The indebted apartment, the quiet neighbours, the apartment spreads in a quiet, enclosed courtyard. 
An area has been cleaned up around the house, a clean stairwell closed. 
A cosy and green courtyard that always has your car spaces. 
Good location and infanstructure: adjacent kindergartens, schools, malls, parks, waterfront. 
Public transport stops are nearby. 
Possible discussion of the terms of the transaction. 
Call to agree on time to watch your apartment."
3,kengarags/aimpp,Ķengarags,J. Rancāna 8,3,57.0,3,5,LT proj.,Paneļu,"Balkons, Parkošanas vieta",62000.0,1087.72,https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/aimpp.html,"Pārdodam, mājīgu un saulainu, 3-istabu dzīvokli ar lielisku lokāciju, pret promenādi. 
Dzīvokļa plānojums:
+ Viesistaba;
+ Divas izolētas guļamistabas;
+ Virtuve;
+ Vannas istaba;
+ Sanmezglis;
+ Balkons;
+ Gaitenis;
Dzīvokļa logi iziet vienā mājas pusē, kas nodrošina maksimālu gaismas apgaismojumu visas dienas garumā. Sienas izlīdzinātas, nomainīti logi. Dzīvoklī veikts daļējs remonts, divas istabas veidotas ar dekoratīvo apmetumu, nepieciešams nomainīt grīdas segumu un jāuztaisa vannas istaba pēc jūsu vēlēšanās. Dzīvoklis ir ļoti gaišs, kluss, silts. 

Laba atrašanas vieta, visa infrastruktūra ir blakus – skolas, bērnudārzi, veikali, sabiedriskais transports, promenāde. 
Iespējama darījuma nosacījumu apspriešana. 
Zvaniet lai sarunāt apskati jums ērtajā laikā. 

Продаем, уютную и солнечную, 3-комнатную квартиру с прекрасной локацией, на против променада. 
Планировка квартиры:
+ Гостиная;
+ Две спальни изолированные;
+ Кухня;
+ Ванная;
+ Санузел;
+ Балкон;
+ Коридор;
Окна квартиры выходят на одну сторону дома, что обеспечивает максимальное освещение света в течение всего дня. Стены выровнены, заменены окна. В квартире сделан частичный ремонт, две комнаты сделаны декоративной штукатуркой, нужно заменить покрытие на пол и сделать ванную комнату по Вашему желанию. Квартира очень светлая, тихая, теплая. 

Хорошее место расположение, вся инфраструктура рядом школы, детские сады, магазины, общественный транспорт, променад. 
Возможно обсуждение условий сделки. 
Звоните, чтобы договориться об осмотре в удобное для вас время."
4,agenskalns/bionjp,Āgenskalns,Raņķa d. 5,4,89.0,1,5,Jaun.,Paneļu - ķieģeļu,"Balkons, Parkošanas vieta",269500.0,3028.09,https://www.ss.com/msg/lv/real-estate/flats/riga/agenskalns/bionjp.html,"Gaišs 4-ist. dzīvoklis jaunajā projektā Nameja Rezidence, Raņķa dambī 5, Āgenskalnā. Nekustamo īpašumu attīstītājs Hepsor piedāvā iegādāties dzīvokli ar kopējo platību – 88, 84 m2.
Īpašais piedāvājums - iegādājoties dzīvokli saņem dāvanā stāvvietu iekšpagalmā, noliktavu pazemē un virtuves iekārtu. 

Dzīvokļa plānojums paredz dzīvojamo istabu apvienotu ar virtuvi un izeju uz balkona, 3 izolētas guļamistabas, 2 sanmezgli un palīgtelpa. Papildus iespējams iegādāties stāvvietu. 

- Piecu stāvu ēka ar liftu
- A+ klases energo efektivitāte
- Ventilācijas sistēma ar rekuperāciju
- PVC logi ar 3-kāršu stikla paketi, 2.40 m augsti
- Kvalitatīva pilnā apdare:
Hansgrohe santehnika, flīzes ar augstu hidroizolāciju, 
dzīvojamās zonās 3 slāņu ozola parkets
- Individuāli skaitītāji elektrības, ūdens un siltuma patēriņa uzskaitei
- Apkuri nodrošina silto grīdu apsilde
- Pilsētas komunikācijas
- Dzīvoklī kvalitatīvas iekšdurvis un ugunsdrošas ārdurvis, kas aprīkotas ar domofonu
- Apzaļumota, labiekārtota teritorija ar video novērošanu, bērnu laukums
- Velo un ratiņu novietne ēkas 1.stāvā

Jaunais projekts ""Nameja Rezidence"" ir piemērots tiem, kas vēlas dzīvot Āgenskalnā, netālu no Vecrīgas, blakus parkam un Nacionālajai bibliotēkai ar ērtu sabiedriskā transporta sistēmu. 

Projektā pieejami arī citi 2-4 istabu dzīvokļi ar pilnas apdares interjeru, platībās no 51-84 m2, vairāk informācijas mūsu mājaslapā. 
Bildēm ir informatīvs raksturs. 

ENG:

4 room apartment in the new project Nameja Rezidence, Ranķas dambis 5, Āgenskalns. 
Real estate developer Hepsor offers to buy an apartment with a total area of 88.84 m2.

The apartment is sold only together with a heated warehouse in the basement. 
The layout of the apartment includes a living room combined with a kitchen and an exit to the balcony, 3 separate bedrooms, 2 bathrooms and a utility room. In addition, it is possible to purchase a parking space and a warehouse. 
- Five-story building with elevator
- A+ class energy efficiency
- Ventilation system with recuperation
- PVC windows with 3-pane glass package, 2.40 m high
- Quality full finish:
Hansgrohe plumbing, tiles with high waterproofing, 
3-layer oak parquet in the living areas
- Individual meters for accounting of electricity, water and heat consumption
- Heating is provided by underfloor heating
- City communications
- The apartment has high-quality internal doors and fireproof external doors equipped with an intercom
- Green, landscaped area with video surveillance, children's playground
- Bicycle and stroller storage on the 1st floor of the building

The new project ""Nameja Rezidence"" is suitable for those who want to live in Ågenskalna, near Old Riga, next to the park and the National Library with a convenient public transport system. 
Other 2-4 room apartments with fully furnished interior are also available in the project, in areas from 51-84 m2, more information on our website. 
Pictures are informative."
5,kengarags/eceen,Ķengarags,Latgales 313,1,33.0,5,12,M. ģim.,Ķieģeļu,,33000.0,1000.0,https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/eceen.html,"Pārdodam dzīvokli Latgales ielā 313. Veiksmīgs mājas izvietojums, pašā Ķengaraga centrā. 
Dzīvokļa platība 32, 46 kv. m, plaša istaba, virtuve, sanmezgls savienots. 
Tīra telpa, kodu slēdzene. 
Dzīvoklī ir plaša, stiklota lodžija. 
Lielisks panorāmas skats no logiem, logi uz vienu mājas pusi. 
Laba infrastruktūra, blakus sabiedriskā transporta pieturvieta, tirdzniecības centri, 52 vidusskola, bērnudārzi. Skaista promenāde pastaigām gar upi. 
Dzīvoklis ir atbrīvots. Aprīkota ar dzīvošanai nepieciešamo. 
Dzīvoklis bez parādiem un apgrūtinājumiem. 

Продаём квартиру на улице Латгалес 313. Удачное расположение дома, в самом центре Кенгарагса. 

Площадь квартиры 32, 46 кв. м, просторная комната, кухня, санузел совмещенный. 

Чистый подъезд, кодовый замок. 

В квартире просторная, застекленная лоджия. 

Отличный панорамный вид из окон, окна на одну сторону дома. 
Хорошая инфраструктура, в пешей доступности остановка общественного транспорта, торговые центры, 52 средняя школа, детские садики. Красивый променад для прогулок вдоль реки. 

Квартира освобождена. Оборудована необходимым для проживания. 

Квартира без долгов и обременений."
6,maskavas-priekshpilseta/cexkjg,Latgales priekšpilsēta,Krāslavas 34,2,37.0,1,5,P. kara,Mūra,,38500.0,1040.54,https://www.ss.com/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/cexkjg.html,"Divistabu dzīvoklis 1. augstajā stāvā. 
Plānojums sastāv no plašas dzīvojamās istabas apvienotas ar virtuves zonu, atsevišķi izolēta guļamistaba un apvienotais sanitārais mezgls. 
Dzīvoklis aprīkots ar elektrisko apkures katlu, pilsētas ūdens pieslēgumu, stikla pakešu logiem, metāla durvīm. 
Apsaimnieko ""RNP"", zemi komunālie maksājumi. 
Kāpņu telpa sledzama ar koda atslēgu. 
Pie mājas, bez maksas, var novietot automašīnu. 
Zeme īpašumā. 
Zvaniet, lai vienotos par tikšanos dzīvoklī. 

Двухкомнатная квартира на высокий 1. этаже. 
Планировка квартиры состоит из просторной гостиной, совмещенной с кухонной зоной, отдельной спальни и совмещенного санузла. 
Квартира оборудована электрокотлом, городским водоснабжением, стеклопакетами и металлическими дверями. 
Управляется РНП, низкие коммунальные платежи. 
Лестница запирается на кодовый ключ. 
Есть возможность бесплатно припарковать машину возле дома. 
Земля в собственности. 
Звоните, чтобы договориться о встрече в квартире."
7,imanta/begcpe,Imanta,Lazdu 53,4,117.0,1,1,Priv. m.,Paneļu,"Terase, Parkošanas vieta",225000.0,1923.08,https://www.ss.com/msg/lv/real-estate/flats/riga/imanta/begcpe.html,"Rindu mājas daļa ar zemes gabalu un terasi. 
Ideāla vieta ģimenei. Privāts ciemats, kurā šobrīd jau apdzīvoti 20 dzīvokļi, plānots uzbūvēt vēl 10 dzīvokļus rindu mājās. Ciematam ir sava iebrauktuve ar automātiskiem vārtiem, pilnībā labiekārtota teritorija. Ceļi bruģēti, skaista labiekārtota teritorija. 

Karkasa moduļu māja. Fasādes apdare ir no CLT skaidu plātnēm ar 25 gadu garantiju, kas aizsargā fasādi no mitruma. Jumts ir pārklāts ar divām bitumena membrānas kārtām. Sienās ir dubulta skaņas izolācija. Mājas tika nodotas ekspluatācijā 2024. gada jūnijā. Griestu augstums ir 2, 95 metri. 

Dzīvoklim ir sava atsevišķa ieeja, vieta automašīnas novietošanai, kā arī apzaļumots zemes gabals un terase pagalmā, klāta ar terases dēli. Lieliska vieta atpūtai. Mājas plānojums sastāv no:
- Plašs koridors ar vietu iebūvējamam drēbju skapim
-Atsevišķa tehniskā telpa 
-Vannas istaba ar dušu, tualeti un izlietni. 
-Trīs guļamistabas, no kurām vienai ir izeja uz terasi un zaļo pagalmu, garderobe, vannas istaba ar dušu, izlietni un tualeti. 
-Plaša viesistaba ar apvienotu virtuvi. 

Apkuri nodrošina siltumsūknis - siltās grīdas, kā arī ir grīdu dzesēšanas funkcija, kas ir ļoti noderīga vasarā. Centrālā kanalizācija un ūdensapgāde. Fasādes apgaismojums, kas tiek ieslēgts krēslas stundās. Optiskais internets TET. Nelieli komunālie maksājumi, aukstākajā ziemas mēnesī līdz 150 eiro. Lieliska skaņas izolācija. Ciemata apsaimniekošanu nodrošina attīstītājs, savlaicīga ielu tīrīšana no sniega. Plānots izveidot kopīgu bērnu rotaļu laukumu pie iebraukšanas ciematā, ielu apgaismojumu, videonovērošanu. 

Ideāla atrašanās vieta. Klusa un mierīga vieta, netālu mežs un veloceliņš Rīga-Jurmala, 2 minūšu attālumā Imantas rajons ar attīstītu infrastruktūru, veikali Maxima, Rimi, Depo. Netālu sabiedriskā transporta pietura. Līdz pilsētas centram 20 minūtes, līdz Jūrmalai 15 minūtes ar automašīnu. 
Māja ir pilnībā gatava jauniem saimniekiem. Pieejams arī mazāks dzīvoklis 110 m2 platībā, 3 istabas. Ja ir kādi jautājumi vai vēlaties saskaņot apskates laiku, zvaniet/rakstiet, labprāt palīdzēsim. 

Квартира в рядном доме с земельным участком и терасой. 

Идеальное место для семьи. Частный поселок, в котором на данный момент уже заселены 20 квартир, планируется еще к постройке 10 квартир в рядных домах. Поселок имеет свой вьезд, оснощенный автоматическими воротами, полностью обустроенная территория. Дорожки выложены брусчаткой, красивый ландшафтный дизаин. 

Каркасный модульный дом. Фасад отделан ЦСП панелями, гарантия на которые 25 лет, защищают фасад от влаги. Крыша обшита двумя слоями битумной мембраны. Двойная звукоизоляция в стенах. Дома были сданы в эксплутацию в июне 2024 года. Высота потолков 2.95 м. 

Квартира имеет свой отдельный вход, место для парковки машины, а так же зеленый участок и терассу на заднем дворе, выложенную терассной доской. Отличное место для отдыха. Планировка дома состоит из:

-Просторного коридора с местом для встроенного шкафа
-Отдельного технического помещения
-Санузла с душем, туалетом и раковиной
- Трехспальных комнат, одна из которых имеет свой выход на террасу и зеленый задний двор, гардеробное помещение, свою ванную комнату с душем, раковиной и туалетом. 
-Просторной гостинной с обьедененной кухней. 

Отопление оснощает тепловой насос с системой подогрева полов, так же есть система охлаждения полов, что очень удобно в летний период. Центральная канализация и водоснобжение. Фасадное освещение, которое включается в сумерочное время. Оптический интернет ТЕТ. Небольшие коммунальные платежи, в самый холодный зимний месяц до 150 евро. Отличная звкуизоляция. Обслуживание поселка обеспечивает фирма застроищика, своевременно происходит чистка улиц от снега. Планируется обустроить общую детскую площадку у вьезда в поселок, фонари уличного освещения, видеонаблюдение. 

Идеальное месторасположение. Тихое спокойное место, недалеко лес и велосипедная дорожка Рига-Юрмала, в 2 минутах район Иманта с развитой инфраструктурой, магазины Максима, Рими, Депо. Недалеко остановка общественного транспорта. До центра города 20 минут, до Юрмалы 15 минут на машине. 
Дом полностью готов к проживанию новых постояльцев. Так же доступны варианты с меньшей площадью 100м2, 3 комнаты. Если есть вопросы или хотите согласовать время просмотра, звоните/пишите, с радостью Вам помогу. 

Flat in a row house with a plot of land and a terrace. 

Private village, in which at the moment 20 flats are already inhabited, it is planned to build 10 more flats in row houses. The village has its own entrance, established by automatic gates, fully equipped territory. The paths are paved with paving stones, beautiful landscaping. 

Frame modular house. The facade is made of CLT chipboard with a 25-year warranty to protect the facade from moisture. The roof is covered with two layers of bitumen membrane. The walls are double soundproofed. The houses were commissioned in June 2024. The ceiling height is 2, 95 metres. 

The flat has its own separate entrance, a place to park the car, as well as a green plot and terrace in the backyard, lined with terrace board. A great place for relaxation. The layout of the house consists of:

-A spacious corridor with space for a built-in wardrobe
-Separate technical room
-Bathroom with shower, toilet and washbasin. 
- Three bedrooms, one of which has its own access to the terrace and green backyard, a dressing room, its own bathroom with shower, sink and toilet. 
-Spacious living room with open-plan kitchen. 

Heating is based on a heat pump with underfloor heating, as well as there is a system of cooling floors, which is very convenient in the summer. Central sewerage and water supply. Facade lighting, which is switched on at twilight. Optic internet TET. Small utility bills, in the coldest winter month up to 150 euros. Excellent soundproofing. Maintenance of the village is provided by the builder's company, timely cleaning of streets from snow. It is planned to equip a common children's playground at the entrance to the village and street lights. 

Ideal location. Quiet and peaceful place, not far from the forest and the Riga-Jurmala bicycle path, 2 minutes from Imanta district with developed infrastructure, shops Maxima, Rimi, Depo. Near public transport stop. To the city centre 20 minutes, to Jurmala 15 minutes by car. 
The house is fully ready for new guests. Also available is a smaller apartment with an area of 110 m2, 3 rooms. If you have any questions or want an appointment for viewing, please call/email, I will be happy to help you."
8,centre/bfcff,centrs,Strēlnieku 8,4,120.0,6,7,Jaun.,Paneļu,Parkošanas vieta,590000.0,4916.67,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bfcff.html,"Tiek pārdots plašs četristabu dzīvokls ar kopējo platību ~ 120 m2. Dzīvoklis atrodas vienā no labākajiem Premium+ klases nekustamā īpašuma projektiem pašā Rīgas sirdī, klusajā centrā – projekts Lofts & Rosegold. 
Ekskluzīvs dzīvoklis ar pilnu augstākās kases kvalitātes remontu, apdari, mēbelēm un sadzīves tehniku. Ieklātas dabīgas parketa grīdas ar apsildi, iebūvēta dizaineru veidota virtuve ar augstākās klases sadzīves tehniku, izbūvētā ventilācijas un gaisa kondicionēšanas sistēma visā dzīvoklī. 
Dzīvoklis izvietots ēkas pēdējā stāvā – 6.stāvs. No ēkas lielajiem logiem (koka PVC) paveras unikāls un neaizmirstams skats uz Skanstes ielas plašumu. 
Ēkas koplietošanas telpas ir kvalitatīvas, veidotas no labākajiem materiāliem, tām piemīt izsmalcināts dizains. Jūsu rīcībā ir plaša un komfortabla foajē ar pieejamu konsjerž-servisu, bērnu stūrīti un vairākām atpūtas zonām. Pagalmā izvietots kreatīvs bērnu rotaļu laukums ar smilšu kasti. 
Ēkā tiek nodrošināts augsts apsardzes līmenis, videonovērošana un piekļuves kontrole ēkai un stāvvietām. 
Auto īpašnieki novērtēs piedāvāto vietu iekšzemes slēgtajā autostāvvietā un ērtu auto stāvvietu blakus ēkai – B zonā. 

Dzīvoklī šobrīd tiek veikti kapitālie remontdarbi un iekārtošanas darbi. 

Cena norādīta ar PVN. 

Продаётся просторная 4-комнатная квартира с общей площадью ~ 120 м2. Квартира находится в одном из лучших проектов класса Premium+ в самом сердце Риги, в тихом центре – проект Lofts & Rosegold. 
Роскошные и эксклюзивные апартаменты класса Premium+ с полным высококачественным ремонтом, отделкой и мебелью и бытовой техникой. В квартире постелены натуральные паркетные полы с подогревом, встроена дизайнерская кухня с бытовой техникой высшего качества, установлена система вентиляции и кондиционирования. 
Квартира расположена на последнем этаже здания – 6 этаж. С просторных окон возможно насладиться уникальным и незабываемым видом на просторы улицы Сканстес. 
Помещения общего пользования в здании также качественно выполнены, использованы лучшие материалы, присутствует изысканный дизайн. К Вашим услугам просторное и комфортабельное фойе с доступным консьерж-сервисом, детским уголком и несколькими зонами отдыха. Во дворе – креативная детская площадка с песочницей. 
В здании поддерживается высокий уровень безопасности, видеонаблюдение и контроль доступа в здание и на стоянку. 
Для автовладельцев окажется удобным наличие крытого парковочного места и близкое расположение парковочных мест в B зоне. 

В квартире на данный момент происходят капитальные строительные работы. 

Цена указана с НДС."
9,centre/hbefk,centrs,Aspazijas bulv. 30,2,44.0,6,6,P. kara,Mūra,,89000.0,2022.73,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/hbefk.html,"Pašā pilsētas centrā, izolētā pagalmā, ar zemiem komunālajiem maksājumiem, pārdod divistabu studijas tipa dzīvokli. Atrodas tieši pretī Nacionālajai operai, pastaigas attālumā no Latvijas Universitātes, vecrīgas un parkiem, blakus mājai tramvaja pietura. Ideāla atrašanās vieta tiem, kam patīk dzīvot pilsētas centrā un pastaigas attālumā nokļūt līdz svarīgākajām vietām. 

Pirmskara māja ar renovētu fasādi un kāpņu telpu, atrodas slēgtā pagalmā. Tīra, sakopta, slēgta kāpņu telpa ar automātisko apgaismojumu. Slēdzene ar kodu. Pieklājīgi kaimiņi. Labiekārtots un drošs pagalms. 

Dzīvoklis atrodas 5. stāvā. Pārdod ar visām mēbelēm un sadzīves tehniku. Dzīvoklis ir pilnībā gatavs dzīvošanai. Ja jums nav nepieciešamas mēbeles, iespējams vienoties par izvešanu. Plānojums sastāv no: 
- Nelielas priekštelpas 5.6 m2, 
- Viesistabas ar divguļamo dīvānu, naktsgaldiņu, televizoru, kafijas galdiņu- 9.8 m2 platībā
- Plaša guļamistaba ar lielu gultu, skapi un pārdomātu darba vietu- 19 m2 platībā
- Atsevišķa virtuve ar visu nepieciešamo. Iebūvētas virtuves mēbeles (pārdomāta uzglabāšanas vieta), veļas mašīna, atsevišķs plīts virsma, ledusskapis. 
- Vannas istaba ar tualeti- 4 m2 platībā. 

Centralizēta ūdensapgāde, kanalizācija, apkure un elektrība. Māju apkalpo DZIK “Enģeļu nams”, zemi komunālie maksājumi, aptuveni 100 eiro ziemā un 70 eiro vasarā, bez elektrības. Logi ar skatu uz divām pusēm. 

Lieliska atrašanās vieta, pašā Rīgas centrā, īpašums, kas rada tikai pozitīvas emocijas. Ideāls mājoklis pārim vai studentiem. Zvaniet mums, lai vienotos par apskati Jums ērtā laikā. 

В самом центре города, в изолированном внутреннем дворе, с низкими коммунальными платежами продается двухкомнатная квартира студия. Местонахождение прямо напротив Национальной оперы, в шаговой доступности Латвийский университет, старая Рига и парки, рядом с домом остановка трамвая. Идеальное месторасположения для тех, кто любит жить в центре города и иметь доступ к самым важным локациям в шаговой доступности. 

Довоенный дом, с реновированным фасадом и подьездом, который расположен в закрытом внутреннем дворе. Чистая и аккуратная, закрытая лестничная клетка с автоматическим освещением. Кодовый замок. Приличные соседи. Очень ухоженный и безопасный двор. 

Квартира расположенна на 5 этаже. Продается со всей мебелью и бытовой техникой. Полностью готова к проживанию. Если мебель не нужна, можно договариться. Планировка квартиры состоит из: 
- Небольшой прихожей зоны 5.6 м2, 
- Гостинной комнаты с двухместным диваном, тумбой, телевизором, журнальным столиком, общей площадью 10 м2 
- Просторной спальной комнаты в большой кроватью, шкафом и продуманным рабочим местом, общей площадью 19 м2
- Отдельной кухни со всем необходимым. Встроенная кухонная мебель (продуманное место для хранения), стиральная машина, отдельная поверхность плиты, холодильник. 
- Ванная комната с обьеденным санузлом, 4 м2

Центральное водоснобжение, канализация, отопление и электричество. Дом обслуживает компания DZIK “Enģeļu nams”, низкие коммунальные платежи, приблизительно 100 евро зимой и 70 евро летом, без электричества. Окна выходят на две стороны. 

Отличное месторасположение, в самом центре Риги, недвижимость, которая располагает и вызывает только положительные эмоции. Идеальное жилье для пары или студентов. Позвоните нам, чтобы договориться о просмотре в удобное для Вас время. 

In the heart of the city centre, in an isolated courtyard, with low utility bills, for sale two-room studio flat. The location is right opposite the National Opera, in walking distance to the University of Latvia, old Riga and parks, next to the house tram stop. Perfect location for those who like to live in the city centre and have access to the most important locations in walking distance. 

Pre-war house with renovated facade and entrance, which is located in a closed courtyard. Clean and tidy, closed entrance hall with automatic lighting. Code lock. Good neighbours. Very well kept and safe courtyard. 

The flat is located on the 5th floor. Rent with all furniture and household appliances. Completely ready to live in. If you do not need furniture, it can be arranged. The layout of the flat consists of: 
- A small vestibule area- 5.6 m2
- A living room with a double sofa, TV, coffee table- 10 m2
- A spacious bedroom with a large bed, wardrobe and a well thought out workplace- 19 m2
- Separate kitchen with everything you need. Fitted kitchen furniture (thoughtful storage space), washing machine, separate cooker surface, fridge. 
- Bathroom with en-suite WC- 4 m2

Central water supply, sewerage, heating and electricity. The house is serviced by DZIK Enģeļu nams’, low utility bills, approximately 100 euros in winter and 70 euros in summer, without electricity. 

Excellent location, in the centre of Riga, a property that disposes and brings only positive emotions. Ideal accommodation for a couple or students. Call us to arrange a viewing at a time convenient for you."
10,centre/aicfd,centrs,Alunāna 2,4,162.0,1,5,P. kara,Mūra,,350000.0,2160.49,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aicfd.html,"В Тихом центре продается 3-комнатная квартира с 2 спальнями, каждая со своим санузлом, просторный салон с камином и выходом на балкон откуда открывается чудесный вид на посольства Англии и Швеции. Есть изолированная кухня, хозяйственная комната, гостевой туалет. Во дворе есть одно парковочное место. В доме круглосуточная охрана. 

LAT

Klusajā centrā tiek izīrēts 3 istabu dzīvoklis ar 2 guļamistabām, katra ar savu vannas istabu, plašu viesistabu ar kamīnu un izeju uz balkonu no kura paveras brīnišķīgs skats uz Anglijas un Zviedrijas vēstniecībām. Ir izolēta virtuve, saimniecības telpa, viesu tualete. Pagalmā ir viena autostāvvieta. Mājā ir diennakts apsardze. 

ENG

A 3-room apartment is for rent in the Quiet Centre with 2 bedrooms, each with its own bathroom, a spacious living room with a fireplace and access to a balcony, which offers a wonderful view of the embassies of England and Sweden. There is an isolated kitchen, a utility room, and a guest toilet. There is one parking space in the yard. The house has 24-hour security."
